character,name,unicode,css_escape,category
A,latin_upper_A,U+0041,\41,Latin letters and numbers
B,latin_upper_B,U+0042,\42,Latin letters and numbers
C,latin_upper_C,U+0043,\43,Latin letters and numbers
D,latin_upper_D,U+0044,\44,Latin letters and numbers
E,latin_upper_E,U+0045,\45,Latin letters and numbers
F,latin_upper_F,U+0046,\46,Latin letters and numbers
G,latin_upper_G,U+0047,\47,Latin letters and numbers
H,latin_upper_H,U+0048,\48,Latin letters and numbers
I,latin_upper_I,U+0049,\49,Latin letters and numbers
J,latin_upper_J,U+004A,\4A,Latin letters and numbers
K,latin_upper_K,U+004B,\4B,Latin letters and numbers
L,latin_upper_L,U+004C,\4C,Latin letters and numbers
M,latin_upper_M,U+004D,\4D,Latin letters and numbers
N,latin_upper_N,U+004E,\4E,Latin letters and numbers
O,latin_upper_O,U+004F,\4F,Latin letters and numbers
P,latin_upper_P,U+0050,\50,Latin letters and numbers
Q,latin_upper_Q,U+0051,\51,Latin letters and numbers
R,latin_upper_R,U+0052,\52,Latin letters and numbers
S,latin_upper_S,U+0053,\53,Latin letters and numbers
T,latin_upper_T,U+0054,\54,Latin letters and numbers
U,latin_upper_U,U+0055,\55,Latin letters and numbers
V,latin_upper_V,U+0056,\56,Latin letters and numbers
W,latin_upper_W,U+0057,\57,Latin letters and numbers
X,latin_upper_X,U+0058,\58,Latin letters and numbers
Y,latin_upper_Y,U+0059,\59,Latin letters and numbers
Z,latin_upper_Z,U+005A,\5A,Latin letters and numbers
→,rightarrow,U+2192,\2192,Arrows
0,0,U+0030,\30,Latin letters and numbers
1,1,U+0031,\31,Latin letters and numbers
2,2,U+0032,\32,Latin letters and numbers
3,3,U+0033,\33,Latin letters and numbers
4,4,U+0034,\34,Latin letters and numbers
5,5,U+0035,\35,Latin letters and numbers
6,6,U+0036,\36,Latin letters and numbers
7,7,U+0037,\37,Latin letters and numbers
8,8,U+0038,\38,Latin letters and numbers
9,9,U+0039,\39,Latin letters and numbers
π,greek_lower_pi,U+03C0,\3C0,Greek alphabet
α,greek_lower_alpha,U+03B1,\3B1,Greek alphabet
